type,title,director,country,release_year
TV Show,Hache,,Spain,2019
Movie,Harlem Globetrotters: The Team That Changed the World,,,2005
TV Show,Hello Ninja,,,2019
Movie,Holiday in the Wild,Ernie Barbarash,,2019
Movie,Holly Star,Michael A. Nickles,United States,2018
Movie,How to Be a Latin Lover,Ken Marino,"Mexico, United States",2017
Movie,How to Be a Player,Lionel C. Martin,United States,1997
Movie,Invictus,Clint Eastwood,United States,2009
Movie,Jimi Hendrix,Joe Boyd,United States,1973
Movie,King's Ransom,Jeffrey W. Byrd,"United States, Canada",2005
Movie,Legion,Scott Stewart,United States,2010
Movie,Like Water for Chocolate,Alfonso Arau,Mexico,1992
Movie,Listen Up! The Lives of Quincy Jones,Ellen Weissbrod,,1990
Movie,Logan's Run,Michael Anderson,United States,1976
Movie,Lolita,Stanley Kubrick,"United Kingdom, United States",1962
Movie,Love Jones,Theodore Witcher,United States,1997
Movie,Mad Money,"Callie Khouri, Jesse V. Johnson",United States,2008
TV Show,Maid-Sama!,,Japan,2010
Movie,Money Talks,Brett Ratner,United States,1997
Movie,Monster House,Gil Kenan,United States,2006
Movie,Mutiny on the Bounty,"Lewis Milestone, Carol Reed",United States,1962
Movie,Nacho Libre,Jared Hess,"United States, Mexico",2006
Movie,National Lampoon's Loaded Weapon 1,Gene Quintano,,1993
Movie,Ocean's Eleven,Lewis Milestone,United States,1960
Movie,Paid in Full,Charles Stone III,United States,2002
TV Show,Queer Eye: We're in Japan!,,"United States, Japan",2019
Movie,Rebel Without a Cause,Nicholas Ray,United States,1955
Movie,Revolutionary Road,Sam Mendes,"United States, United Kingdom",2008
Movie,Rosemary's Baby,Roman Polanski,United States,1968
Movie,Rounders,John Dahl,United States,1998
Movie,Rumble in the Bronx,Stanley Tong,Hong Kong,1995
Movie,Santa Girl,Blayne Weaver,United States,2019
Movie,Sling Blade,Billy Bob Thornton,United States,1996
Movie,Sparkle,Sam O'Steen,United States,1976
Movie,Spider-Man 3,Sam Raimi,United States,2007
Movie,Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer",United Kingdom,2018
Movie,Step Brothers,Adam McKay,United States,2008
Movie,Superfly,Gordon Parks,United States,1972
Movie,The Brave One,Neil Jordan,United States,2007
Movie,The Christmas Candle,John Stephenson,"United Kingdom, United States",2013
Movie,The Cincinnati Kid,Norman Jewison,United States,1965
Movie,The Game,David Fincher,United States,1997
Movie,The Great Raid,John Dahl,"United States, Australia",2005
Movie,The House of Flowers Presents: The Funeral,Manolo Caro,,2019
Movie,The King,David Michôd,,2019
Movie,The Last Boy Scout,Tony Scott,United States,1991
Movie,The Man Without Gravity,Marco Bonfanti,"Italy, Belgium, France",2019
Movie,The Matrix,"Lilly Wachowski, Lana Wachowski",United States,1999
Movie,The Matrix Reloaded,"Lilly Wachowski, Lana Wachowski",United States,2003
Movie,The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski",United States,2003
Movie,The Old Thieves: The Legend of Artegios,Everardo González,,2007
Movie,The Pelican Brief,Alan J. Pakula,United States,1993
Movie,The Tuxedo,Kevin Donovan,United States,2002
Movie,"Thelonious Monk: Straight, No Chaser",Charlotte Zwerin,United States,1988
Movie,True: Grabbleapple Harvest,,,2019
Movie,Vantage Point,Pete Travis,United States,2008
TV Show,Vientos de agua,,"Argentina, Spain",2006
TV Show,We Are the Wave,,,2019
Movie,Wild Child,Nick Moore,"United States, United Kingdom, France",2008
Movie,Zoé: Panoramas,"Rodrigo Guardiola, Gabriel Cruz Rivas",,2016
Movie,Zombieland,Ruben Fleischer,United States,2009
Movie,A Wednesday,Neeraj Pandey,India,2008
Movie,Aagey Se Right,Indrajit Nattoji,India,2009
Movie,Aamir,Raj Kumar Gupta,India,2008
Movie,ABCD 2,Remo D'Souza,India,2015
Movie,ABCD: Any Body Can Dance,Remo D'Souza,India,2013
Movie,Arjun: The Warrior Prince,Arnab Chaudhuri,India,2011
Movie,Asees,Rana Ranbir,India,2018
Movie,Barfi!,Anurag Basu,India,2012
Movie,BASEketball,David Zucker,United States,1998
TV Show,Calico Critters,,,2018
Movie,Calico Critters: A Town of Dreams,Momoko Kamiya,,2017
Movie,Calico Critters: The Treasure of Calico Village,Momoko Kamiya,,2017
Movie,Chaar Sahibzaade,Harry Baweja,India,2014
Movie,Chance Pe Dance,Ken Ghosh,India,2009
Movie,Christmas With A View,Justin G. Dyck,Canada,2018
Movie,Chup Chup Ke,"Priyadarshan, Kookie V. Gulati",India,2006
Movie,Dhan Dhana Dhan Goal,Vivek Agnihotri,"United Kingdom, India",2007
Movie,Dhoondte Reh Jaoge,Umesh Shukla,India,2009
Movie,Do Dooni Chaar,Habib Faisal,India,2010
Movie,Edge of Fear,Bobby Roth,United States,2018
Movie,"Edmilson Filho: Notas, Comedy about Relationships",Halder Gomes,Brazil,2017
Movie,Filmworker,Tony Zierra,United States,2017
Movie,Gaddar: the Traitor,Amitoj Mann,India,2015
TV Show,Get Shorty,,United States,2017
Movie,Ghanchakkar,Raj Kumar Gupta,India,2013
TV Show,Girl from Nowhere,,Thailand,2018
Movie,Grandmaster,B. Unnikrishnan,India,2012
Movie,Hattrick,Milan Luthria,India,2007
Movie,Heroine,Madhur Bhandarkar,India,2012
Movie,Himmatwala,Sajid Khan,India,2013
Movie,Husbands in Goa,Saji Surendran,India,2012
Movie,Jatts in Golmaal,Ksshitij Chaudhary,India,2013
Movie,Kai Po Che!,Abhishek Kapoor,India,2013
Movie,Kalakalappu,Sundar C.,India,2012
Movie,Katt Williams: The Pimp Chronicles: Pt. 1,Gary Binkow,United States,2006
Movie,Katti Batti,Nikhil Advani,India,2015
Movie,Life in a ... Metro,Anurag Basu,India,2007
Movie,Marc Maron: Thinky Pain,Lance Bangs,United States,2013
Movie,Morris from America,Chad Hartigan,"Germany, United States",2016
Movie,Mumbai Meri Jaan,Nishikant Kamat,India,2008
Movie,Mundeyan Ton Bachke Rahin,Navinder Pal Singh,India,2014
Movie,No One Killed Jessica,Raj Kumar Gupta,India,2011
Movie,Oye Lucky! Lucky Oye!,Dibakar Banerjee,India,2008
Movie,Paan Singh Tomar,Tigmanshu Dhulia,India,2010
Movie,Raja Natwarlal,Kunal Deshmukh,India,2014
Movie,Satyagraha,Prakash Jha,India,2013
Movie,Settai,R. Kannan,India,2013
Movie,Sigaram Thodu,Gaurav Narayanan,India,2014
Movie,Sommore: The Reign Continues,Kevin Layne,United States,2015
Movie,Stink!,Jon J. Whelan,United States,2015
TV Show,The Great British Baking Show: The Beginnings,,,2012
Movie,The Tigers of Scotland,Leanne Gater,United Kingdom,2017
Movie,The Untold Tales of Armistead Maupin,Jennifer M. Kroot,United States,2017
Movie,The Water Horse: Legend of the Deep,Jay Russell,"New Zealand, United Kingdom, Australia",2007
Movie,Transcendence,Wally Pfister,"United Kingdom, China, United States",2014
Movie,Vaya,Akin Omotoso,South Africa,2016
Movie,Welcome to Sajjanpur,Shyam Benegal,India,2008
Movie,Yeh Hai Bakrapur,,India,2014
Movie,Zokkomon,Satyajit Bhatkal,India,2011
Movie,6-5=2,Bharat Jain,India,2014
Movie,Bandie,Alo Sarkar,India,1978
Movie,Beiimaan Love,Rajeev Chaudhari,India,2016
Movie,Coffee with D,Vishal Mishra,India,2017
Movie,Getaway Plan,Iñaki Dorronsoro,Spain,2016
Movie,Golden Time,Takuya Inaba,Japan,2013
Movie,Hajwala: The Missing Engine,"Ali Bin Matar, Ibrahim Bin Mohamed",United Arab Emirates,2016
Movie,Hitler's Steel Beast,Daniel Ablin,France,2017
Movie,Kacche Dhaagey,Buta Singh,India,2016
Movie,Kis Kisko Pyaar Karoon,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",India,2015
Movie,Moor,Jami,"Pakistan, United States",2015
TV Show,My Life My Story,,,2017
Movie,One Heart: The A.R. Rahman Concert Film,,India,2017
Movie,Pettersson and Findus 2,Ali Samadi Ahadi,Germany,2016
Movie,Punjab 1984,Anurag Singh,"Canada, India",2014
Movie,Rivaaz,Ashok Nanda,India,2011
Movie,Romeo Ranjha,Navaniat Singh,"India, Canada",2014
Movie,Roots,Shweta Basu Prasad,,2016
Movie,Savage Dog,Jesse V. Johnson,United States,2017
TV Show,Stranger,,South Korea,2017
Movie,The Bittersweet,D Ho,China,2017
TV Show,The Family Court,,,2010
TV Show,The Golden Path,,,2007
TV Show,The Little Nyonya,,,2009
TV Show,The Truth,,,2008
TV Show,Together,,Singapore,2009
Movie,Trip to Bhangarh: Asia's Most Haunted Place,Jitender Pawar,India,2014
Movie,Undercover Grandpa,Erik Canuel,Canada,2016
Movie,Waarrior Savitri,Param Gill,India,2016
Movie,Warehoused,Jack Zagha Kababie,Mexico,2015
Movie,Yaara O Dildaara,Ksshitij Chaudhary,India,2011
Movie,A Grand Night In: The Story of Aardman,Richard Mears,United Kingdom,2015
TV Show,Inborn Pair,,Taiwan,2011
TV Show,Just You,,Taiwan,2013
TV Show,Love Around,,Taiwan,2013
TV Show,Love Family,,Taiwan,2013
TV Show,Love Me or Leave Me,,Taiwan,2012
TV Show,Love Now,,Taiwan,2012
Movie,Norman Lear: Just Another Version of You,"Heidi Ewing, Rachel Grady",United States,2016
Movie,Santa Pac's Merry Berry Day,Moto Sakakibara,,2016
Movie,Spanish Affair 2,Emilio Martínez Lázaro,Spain,2015
Movie,The Interview,Craig Monahan,Australia,1998
Movie,The Last Days of Chez Nous,Gillian Armstrong,Australia,1992
Movie,Tree Man,"Jon Reiner, Brad Rothschild",Canada,2015
Movie,Winter of Our Dreams,John Duigan,Australia,1981
Movie,Young Tiger,Mu Chu,Hong Kong,1973
Movie,A Russell Peters Christmas,Henry Sarwer-Foner,Canada,2011
Movie,Aziz Ansari: Buried Alive,"Will Lovelace, Dylan Southern",United States,2013
Movie,Mad Ron's Prevues from Hell,Jim Monaco,United States,1987
Movie,Antar: Son of Shadad,Sherif Ismail,Egypt,2017
Movie,Bathtubs Over Broadway,Dava Whisenant,United States,2018
Movie,Gatao 2: Rise of the King,Yen Cheng-kuo,Taiwan,2018
Movie,Insidious,James Wan,"United States, Canada, United Kingdom",2010
Movie,Lion's Heart,Karim El Sobky,Egypt,2013
Movie,Regatta,Mohamed Samy,Egypt,2015
Movie,Tattah,Sameh Abdulaziz,Egypt,2013
Movie,The Bulbul's Nest,Husam El-Gohari,,2013
Movie,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",Liz Plonka,United States,2017
TV Show,Away From Home,,,2015
TV Show,Bibik-Bibikku,,,2016
TV Show,Cinta 100KG,,,2016
TV Show,Cinta Iris,,,2015
TV Show,Cinta Si Wedding Planner,,,2015
TV Show,Cinta Teruna Kimchi,,,2016
TV Show,Secret of Success,,,2015
TV Show,The Missing Menu,,,2016
TV Show,Unchained Fate,,,2016
Movie,Desolation,Sam Patton,United States,2017
Movie,Hari Kondabolu: Warn Your Relatives,Bobcat Goldthwait,United States,2018
Movie,Kaleidoscope,Rupert Jones,United Kingdom,2016
Movie,National Bird,Sonia Kennebeck,United States,2016
Movie,The Chosen Ones,David Pablos,"Mexico, France",2015
TV Show,Abyss,,South Korea,2019
TV Show,I Have a Script,,,2019
TV Show,In the Bosom of a Thorn,,,2019
Movie,The Heat: A Kitchen (R)evolution,Maya Gallus,Canada,2018
TV Show,The Writer,,Lebanon,2019
TV Show,What If?,,,2019
Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,2013
Movie,My Fuhrer,Dani Levy,Germany,2007
Movie,LoveTrue,Alma Har'el,United States,2016
Movie,Last Breath,"Alex Parkinson, Richard da Costa","United Kingdom, Belgium, Sweden",2019
Movie,Like Arrows,Kevin Peeples,United States,2018
Movie,The Wandering Earth,Frant Gwo,China,2019
Movie,War Horse,Steven Spielberg,"United States, India",2011
Movie,Ali Wong: Baby Cobra,Jay Karas,United States,2016
Movie,Death House,Harrison Smith,United States,2017
Movie,Family Blood,Sonny Mallhi,United States,2018
TV Show,Miss Dynamite,,Mexico,2015
Movie,Pup Star: World Tour,Robert Vince,"Canada, Japan, United States",2018
Movie,Handsome: A Netflix Mystery Movie,Jeff Garlin,United States,2017
Movie,Simplemente Manu NNa,"Jan Suter, Raúl Campos",Mexico,2017
Movie,The Mars Generation,Michael Barnett,United States,2017
TV Show,What Happens to My Family,,Turkey,2016
Movie,4th Man Out,Andrew Nackman,United States,2015
Movie,Just Another Love Story,Ole Bornedal,Denmark,2007
TV Show,A Little Help with Carol Burnett,,United States,2018
Movie,Anon,Andrew Niccol,"Germany, United States, Canada",2018
Movie,Dany Boon: Des Hauts De France,Isabelle Nanty,France,2018
Movie,End Game,"Rob Epstein, Jeffrey Friedman",United States,2018
Movie,Forgive Us Our Debts,Antonio Morabito,"Italy, Switzerland, Albania, Poland",2018
Movie,Lo más sencillo es complicarlo todo,Rene Bueno,Mexico,2018
Movie,Manhunt,John Woo,"China, Hong Kong",2017
Movie,No Estoy Loca,Nicolás López,Chile,2018
Movie,Thi Mai,Patricia Ferreira,Spain,2017
TV Show,Pasión de Gavilanes,,"Colombia, United States",2003
Movie,Always Be My Maybe,Nahnatchka Khan,United States,2019
Movie,C Kkompany,Sachin Yardi,India,2008
Movie,Chopsticks,Sachin Yardi,India,2019
TV Show,How to Sell Drugs Online (Fast),,Germany,2019
TV Show,Killer Ratings,,,2019
Movie,Koi Aap Sa,Partho Mitra,India,2006
Movie,Krishna Cottage,Santram Varma,India,2004
Movie,Mere Pyare Prime Minister,Rakeysh Omprakash Mehra,India,2019
Movie,P,Paul Spurrier,"United Kingdom, Thailand",2006
Movie,Pegasus,Han Han,China,2019
Movie,Ragini MMS,Pawan Kripalani,India,2011
Movie,Ragini MMS 2,Bhushan Patel,India,2014
Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,2011
TV Show,When They See Us,,United States,2019
Movie,Bombshell: The Hedy Lamarr Story,Alexandra Dean,United States,2017
Movie,Without Gorky,Cosima Spender,United Kingdom,2011
Movie,My Week with Marilyn,Simon Curtis,"United Kingdom, United States",2011
Movie,Svaha: The Sixth Finger,Jang Jae-hyun,South Korea,2019
Movie,The One I Love,Charlie McDowell,United States,2014
Movie,Sarah Silverman A Speck of Dust,Liam Lynch,United States,2017
Movie,All In My Family,Hao Wu,United States,2019
TV Show,Crime Diaries: Night Out,Felipe Cano,Mexico,2019
TV Show,Dead to Me,,United States,2019
Movie,Despite Everything,Gabriela Tagliavini,Spain,2019
Movie,"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,United States,2019
TV Show,Flinch,,United Kingdom,2019
Movie,It's Fine,Ismail Farouk,,2012
Movie,Jo Pil-ho: The Dawning Rage,Lee Jeong-beom,South Korea,2018
Movie,The Last Summer,William Bindley,United States,2019
TV Show,Tuca & Bertie,,United States,2019
TV Show,Undercover,,"Belgium, Netherlands",2019
Movie,Si saben cómo me pongo ¿pá qué me invitan?,Fernando Ayllón,Colombia,2018
Movie,Forever Pure,Maya Zinshtein,"United Kingdom, Israel, Russia",2016
Movie,Rangoon,Vishal Bhardwaj,India,2017
Movie,Hot Girls Wanted,"Jill Bauer, Ronna Gradus",United States,2015
Movie,Lifechanger,Justin McConnell,Canada,2018
Movie,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston",United States,2018
Movie,After Porn Ends,Bryce Wagoner,United States,2012
TV Show,Charmed,,United States,2019
TV Show,Historical Roasts,,United States,2019
TV Show,The Break with Michelle Wolf,,United States,2018
Movie,The Do-Over,Steven Brill,United States,2016
TV Show,Kiss The Series,,,2016
Movie,Rampant,Kim Sung-hoon,South Korea,2018
Movie,Sara's Notebook,Norberto López Amado,Spain,2018
TV Show,Something in the Rain,,South Korea,2018
Movie,I Am Jane Doe,Mary Mazzio,United States,2017
Movie,Joshua: Teenager vs. Superpower,Joe Piscatella,United States,2017
Movie,Raees,Rahul Dholakia,India,2017
Movie,War Machine,David Michôd,United States,2017
Movie,The Last Man on the Moon,Mark Craig,United Kingdom,2014
TV Show,Sotus The Series,,Thailand,2016
TV Show,Thackeray,,India,2019
Movie,Colours of Passion,Ketan Mehta,India,2008
Movie,Fernando Sanjiao: Hombre,"Raúl Campos, Jan Suter",Argentina,2018
Movie,Ibiza,Alex Richanbach,United States,2018
Movie,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Marcus Raboy,United States,2018
Movie,Detour,Christopher Smith,"United Kingdom, South Africa",2016
Movie,After Maria,Nadia Hallgren,United States,2019
TV Show,Hyper HardBoiled Gourmet Report,,,2017
Movie,Joy,Sudabeh Mortezai,Austria,2019
Movie,Rim of the World,McG,United States,2019
Movie,The Perfection,Richard Shepard,United States,2019
TV Show,WHAT / IF,,United States,2019
Movie,Survivors Guide to Prison,Matthew Cooke,United States,2017
Movie,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,"Mike Diva, Akiva Schaffer",,2019
Movie,Arès,Jean-Patrick Benes,France,2016
Movie,Hasan Minhaj: Homecoming King,Christopher Storer,,2017
TV Show,Dramaworld,,"United States, South Korea, China",2016
Movie,A Tale of Two Kitchens,Trisha Ziff,,2019
Movie,The Man Who Feels No Pain,Vasan Bala,India,2018
TV Show,Mob Psycho 100,,Japan,2018
Movie,Tig Notaro Happy To Be Here,Tig Notaro,United States,2018
TV Show,12 Years Promise,,South Korea,2014
TV Show,Beating Again,,South Korea,2015
TV Show,Can We Get Married?,,South Korea,2012
Movie,Elizabeth at 90: A Family Tribute,John Bridcut,United Kingdom,2016
TV Show,Last,,South Korea,2015
TV Show,Secret Affair,,South Korea,2014
TV Show,This Is My Love,,South Korea,2015
TV Show,The Super Mario Bros. Super Show!,,"United States, Canada",1989
Movie,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Lance Bangs,United States,2015
Movie,The Other One: The Long Strange Trip of Bob Weir,Mike Fleiss,United States,2015
Movie,Moonlight,Barry Jenkins,United States,2016
Movie,Wanda Sykes: Not Normal,Linda Mendoza,United States,2019
Movie,Zero,Aanand Rai,India,2018
TV Show,American Experience: The Circus,Sharon Grimberg,United States,2018
Movie,Hamza's Suitcase,Akram Farouk,Egypt,2017
Movie,Her Only Choice,Christel Gibson,United States,2018
Movie,John Carter,Andrew Stanton,United States,2012
Movie,Laatu,Manav Shah,India,2018
Movie,Olympus Has Fallen,Antoine Fuqua,United States,2013
TV Show,Revenge,,,2017
Movie,Jailbreak,Jimmy Henderson,Cambodia,2017
Movie,Maria Bamford: Old Baby,Jessica Yu,United States,2017
Movie,Two Lovers and a Bear,Kim Nguyen,Canada,2016
Movie,SGT. Will Gardner,Max Martini,United States,2019
Movie,Jalpari: The Desert Mermaid,Nila Madhab Panda,India,2012
Movie,Small Town Crime,"Ian Nelms, Eshom Nelms",United States,2017
TV Show,Behzat Ç.,,Turkey,2010
Movie,BLAME!,Hiroyuki Seshita,Japan,2017
TV Show,Hidden Singer,,South Korea,2015
TV Show,Highland: Thailand's Marijuana Awakening,,Thailand,2017
Movie,Laerte-se,"Lygia Barbosa da Silva, Eliane Brum",Brazil,2017
